Метрика,Значення RNN,Значення LSTM,Покращення
Точність,0.6479400749063671,0.9937578027465668,0.3458177278401997
Прецизійність,0.649746192893401,0.9974811083123426,0.34773491541894164
Повнота,0.64,0.99,0.35
F1-оцінка,0.6448362720403022,0.9937264742785445,0.3488902022382423
ROC AUC,0.6297069825436409,0.99910536159601,0.36939837905236916
