Модель,Точність,Прецизійність,Повнота,F1_оцінка,ROC_AUC,Параметри,Час_навчання_с
RNN,0.6479400749063671,0.649746192893401,0.64,0.6448362720403022,0.6297069825436409,2062593,46.543293952941895
LSTM,0.9937578027465668,0.9974811083123426,0.99,0.9937264742785445,0.99910536159601,2631041,234.3701069355011
